id,date_start,latitude,longitude,best
200317,1992-05-07,43.518889,18.227778,0
199965,1992-05-10,44.437222,18.908056,12
200420,1992-05-11,43.85,18.383333,4
200423,1992-05-14,43.85,18.383333,4
199761,1992-05-16,43.85,18.383333,7
200425,1992-05-18,43.85,18.383333,2
199867,1992-05-22,44.542778,18.669444,3
200118,1992-05-25,43.822222,18.206667,42
199639,1992-05-27,43.85,18.383333,16
200428,1992-05-27,43.85,18.383333,16
199929,1992-05-28,44.977222,17.910278,9
200427,1992-05-28,43.85,18.383333,9
200429,1992-05-28,43.85,18.383333,3
200229,1992-05-28,43.343333,17.808056,2
200430,1992-05-30,43.85,18.383333,1
200431,1992-06-01,43.85,18.383333,2
199623,1992-06-03,43.85,18.383333,4
199640,1992-06-02,43.85,18.383333,1
200267,1992-06-02,43.784722,19.299167,2
200332,1992-06-02,44.981389,16.713056,16
199801,1992-06-03,43.618333,18.971944,6
199930,1992-06-03,44.977222,17.910278,1
200226,1992-06-03,43.343333,17.808056,3
200432,1992-06-03,43.85,18.383333,3
200433,1992-06-04,43.85,18.383333,4
200436,1992-06-05,43.85,18.383333,1
199126,1992-06-06,43.85,18.383333,8
199624,1992-06-06,43.85,18.383333,2
200434,1992-06-06,43.85,18.383333,10
200437,1992-06-07,43.85,18.383333,20
199744,1992-06-09,44.977222,17.910278,0
200435,1992-06-09,43.85,18.383333,0
200440,1992-06-09,43.85,18.383333,35
200439,1992-06-10,43.85,18.383333,1
199868,1992-06-11,44.542778,18.669444,7
199770,1992-06-12,44.816944,15.870833,100
199162,1992-06-15,43.343333,17.808056,6
200445,1992-06-17,43.85,18.383333,6
200446,1992-06-17,43.85,18.383333,2
200448,1992-06-19,43.85,18.383333,5
200443,1992-06-20,43.85,18.383333,18
200256,1992-07-09,44.365833,18.205556,0
199583,1992-07-10,44.610278,16.665833,144
200353,1992-07-10,43.85,18.383333,1
200354,1992-07-10,43.85,18.383333,6
200347,1992-07-11,43.85,18.383333,0
200009,1992-07-13,43.666944,18.976389,10
200319,1992-07-13,45.011111,18.326667,0
200356,1992-07-13,43.85,18.383333,1
200357,1992-07-13,43.85,18.383333,7
200358,1992-07-14,43.85,18.383333,13
199587,1992-07-15,45.1375,17.989722,0
199711,1992-07-15,43.744722,18.018889,0
199127,1992-07-16,43.85,18.383333,2
200359,1992-07-16,43.85,18.383333,13
200360,1992-07-17,43.85,18.383333,2
200011,1992-07-18,43.666944,18.976389,2
200361,1992-07-20,43.85,18.383333,15
200012,1992-07-22,43.666944,18.976389,50
200362,1992-07-22,43.85,18.383333,1
199411,1992-07-23,43.85,18.383333,5
200363,1992-07-23,43.85,18.383333,5
199932,1992-07-24,44.977222,17.910278,50
199619,1992-07-25,43.85,18.383333,10
200364,1992-07-26,43.85,18.383333,11
200365,1992-07-27,43.85,18.383333,4
199773,1992-07-29,44.816944,15.870833,6
200329,1992-07-30,43.581111,18.573333,13
200367,1992-07-30,43.85,18.383333,4
200368,1992-07-31,43.85,18.383333,11
200796,1992-08-01,43.666111,18.445833,4
199627,1992-08-02,43.85,18.383333,2
200371,1992-08-07,43.85,18.383333,10
200013,1992-08-09,43.666944,18.976389,3
200090,1992-08-09,44.880833,18.426944,46
200372,1992-08-11,43.85,18.383333,2
199559,1992-08-17,43.85,18.383333,6
200014,1992-08-17,43.666944,18.976389,2
200374,1992-08-17,43.85,18.383333,8
200653,1992-08-17,43.85,18.383333,1
200377,1992-08-18,43.85,18.383333,5
200375,1992-08-19,43.85,18.383333,11
199775,1992-08-20,44.816944,15.870833,4
199486,1992-08-21,43.85,18.383333,4
200378,1992-08-21,43.85,18.383333,4
200015,1992-08-22,43.666944,18.976389,9
200017,1992-08-22,43.666944,18.976389,3
200093,1992-08-22,43.85,18.383333,3
200117,1992-08-22,43.833056,18.303889,1
200654,1992-08-22,43.85,18.383333,10
200380,1992-08-23,43.85,18.383333,17
199887,1992-08-24,44.016111,18.258889,3
200216,1992-08-24,43.85,18.383333,32
200382,1992-08-25,43.85,18.383333,28
199900,1992-08-26,44.574444,18.913889,0
200345,1992-08-26,44.5625,18.970278,0
199444,1992-08-27,43.85,18.383333,9
200316,1992-08-27,44.171111,17.6575,1
200695,1992-08-27,43.85,18.383333,9
199719,1992-08-31,44.816944,15.870833,2
199909,1992-08-31,44.966944,15.943056,1
200254,1992-08-31,43.85,18.383333,1
200245,1992-09-03,44.586389,18.795833,5
200381,1992-09-04,43.85,18.383333,6
200312,1992-09-07,45.09,18.317778,3
199631,1992-09-08,43.85,18.383333,4
199854,1992-09-08,43.343333,17.808056,2
200387,1992-09-08,43.85,18.383333,4
200388,1992-09-08,43.85,18.383333,2
200742,1992-09-08,43.084444,17.9575,2
200746,1992-09-12,43.835556,18.318333,270
200801,1992-09-13,44.542778,18.669444,7
199776,1992-09-14,44.816944,15.870833,6
199879,1992-09-14,44.872778,18.808333,25
200134,1992-09-14,44.342222,17.265556,6
200392,1992-09-15,43.85,18.383333,18
199777,1992-09-16,44.816944,15.870833,20
199827,1992-09-16,45.1375,17.989722,3
200018,1992-09-16,43.666944,18.976389,5
200135,1992-09-16,44.342222,17.265556,20
200393,1992-09-17,43.85,18.383333,25
200745,1992-09-17,43.835556,18.318333,30
199584,1992-09-18,44.582222,16.196667,9
199588,1992-09-18,44.555,16.368611,0
199615,1992-09-19,43.343333,17.808056,2
199534,1992-09-20,43.505278,18.446667,0
199875,1992-09-20,44.872778,18.808333,39
199791,1992-09-22,44.816944,15.870833,9
200394,1992-09-22,43.85,18.383333,3
199573,1992-09-23,44.816944,15.870833,9
199633,1992-09-23,43.85,18.383333,3
200136,1992-09-23,44.342222,17.265556,25
200215,1992-09-26,44.494722,18.701944,88
200391,1992-09-26,43.85,18.383333,21
200395,1992-09-28,43.85,18.383333,3
199487,1992-09-28,43.85,18.383333,3
200088,1992-09-28,44.880833,18.426944,4
200137,1992-10-01,44.342222,17.265556,4
200397,1992-10-01,43.85,18.383333,1
200398,1992-10-02,43.85,18.383333,10
200091,1992-10-03,44.880833,18.426944,16
200200,1992-10-03,43.784722,19.299167,5
199949,1992-10-04,43.83,18.358611,2
200191,1992-10-04,44.549167,18.096667,1
199636,1992-10-05,43.85,18.383333,7
200399,1992-10-05,43.85,18.383333,7
200400,1992-10-05,43.85,18.383333,23
199828,1992-10-06,45.1375,17.989722,1
200092,1992-10-06,44.880833,18.426944,12
200139,1992-10-06,44.342222,17.265556,0
199830,1992-10-06,45.1375,17.989722,300
200121,1992-10-07,43.85,18.383333,7
199637,1992-10-10,43.85,18.383333,3
199880,1992-10-10,44.872778,18.808333,3
199967,1992-10-10,43.343333,17.808056,4
200089,1992-10-10,44.880833,18.426944,19
200401,1992-10-10,43.85,18.383333,3
200022,1992-10-11,43.343333,17.808056,4
200094,1992-10-11,44.880833,18.426944,7
200402,1992-10-11,43.85,18.383333,4
199806,1992-10-12,44.797222,18.340278,3
200046,1992-10-12,44.883056,18.385278,3
200095,1992-10-12,44.880833,18.426944,3
200174,1992-10-12,44.541944,18.525833,3
200405,1992-10-12,43.85,18.383333,1
200096,1992-10-13,44.880833,18.426944,6
200098,1992-10-14,44.880833,18.426944,2
200099,1992-10-15,44.880833,18.426944,7
200404,1992-10-18,43.85,18.383333,17
200097,1992-10-25,44.880833,18.426944,4
200124,1992-10-26,43.833056,18.303889,7
200140,1992-10-26,44.342222,17.265556,40
199787,1992-10-27,44.816944,15.870833,1
200406,1992-10-27,43.85,18.383333,6
199641,1992-10-31,43.85,18.383333,1
200411,1992-10-31,43.85,18.383333,29
200100,1992-11-02,44.880833,18.426944,6
200198,1992-11-02,44.549167,18.096667,6
200409,1992-11-02,43.85,18.383333,12
199160,1992-11-06,44.880833,18.426944,6
200323,1992-11-10,44.13,18.582778,25
200023,1992-11-12,43.343333,17.808056,3
199788,1992-11-15,44.816944,15.870833,0
200192,1992-11-15,44.549167,18.096667,24
199881,1992-11-16,44.872778,18.808333,25
200115,1992-11-16,44.8925,16.008056,3
200410,1992-11-16,43.85,18.383333,1
200771,1992-11-16,44.611667,17.987222,3
199164,1992-11-18,43.85,18.383333,1
200102,1992-11-23,44.880833,18.426944,5
199935,1992-11-28,44.734722,18.087778,3
199883,1992-11-29,44.872778,18.808333,5
200078,1992-11-29,43.343333,17.808056,2
200413,1992-11-29,43.85,18.383333,2
200318,1992-11-30,44.13,18.582778,1
200794,1992-12-02,44.542778,18.669444,8
200415,1992-12-03,43.85,18.383333,41
200416,1992-12-06,43.85,18.383333,60
200866,1992-12-06,43.954167,19.133056,4
200417,1992-12-09,43.85,18.383333,5
200418,1992-12-12,43.85,18.383333,4
200787,1992-12-12,44.226667,17.670556,1
199560,1992-12-13,44.13,19.436944,10
199863,1992-12-14,44.1875,19.339444,150
200741,1992-12-14,44.106389,19.296944,0
199679,1992-12-19,44.258611,19.039722,3
200153,1992-12-19,43.755278,18.523889,6
200125,1992-12-27,43.833056,18.303889,1
200119,1993-01-01,43.822222,18.206667,1
200334,1993-01-01,43.84,18.305278,53
200744,1993-01-01,43.084444,17.9575,6
199529,1993-01-01,44.859167,18.766944,0
199864,1993-01-07,44.1875,19.339444,46
200672,1993-01-07,43.85,18.383333,3
200755,1993-01-07,43.901944,18.348056,20
199433,1993-01-10,43.85,18.383333,1
199847,1993-01-10,44.057222,17.450833,3
199150,1993-01-11,44.106389,19.296944,0
200311,1993-01-11,45.09,18.317778,9
200630,1993-01-11,43.85,18.383333,1
199436,1993-01-15,43.85,18.383333,8
199972,1993-01-15,43.85,18.383333,8
200080,1993-01-15,44.006667,16.600556,0
200109,1993-01-19,44.106389,19.296944,12
199357,1993-01-27,43.343333,17.808056,1
199463,1993-01-27,43.85,18.383333,0
200480,1993-01-27,43.85,18.383333,6
200488,1993-01-30,43.85,18.383333,18
199142,1993-02-07,43.85,18.383333,3
200500,1993-02-07,43.85,18.383333,4
200869,1993-02-09,43.954167,19.133056,7
200720,1993-02-10,44.106389,19.296944,31
200506,1993-02-11,43.85,18.383333,1
199886,1993-02-11,44.872778,18.808333,70
200509,1993-02-28,43.85,18.383333,1
199420,1993-03-02,44.542778,18.669444,2
199455,1993-03-02,43.85,18.383333,2
199925,1993-03-02,44.258611,19.039722,24
199758,1993-03-10,43.343333,17.808056,1
200839,1993-03-10,44.181944,18.940556,0
199611,1993-03-12,44.257778,19.105833,16
200162,1993-03-12,44.257778,19.105833,16
200489,1993-03-17,43.85,18.383333,3
199165,1993-03-18,43.85,18.383333,20
199923,1993-03-19,43.950833,18.270833,3
200510,1993-03-21,43.85,18.383333,8
199131,1993-03-22,43.85,18.383333,1
200040,1993-04-03,43.666944,18.976389,7
200721,1993-04-03,44.106389,19.296944,8
200511,1993-04-04,43.85,18.383333,7
200709,1993-04-04,44.106389,19.296944,3
200710,1993-04-05,44.106389,19.296944,1
199451,1993-04-07,43.85,18.383333,4
199155,1993-04-11,44.816944,15.870833,1
200512,1993-04-11,43.85,18.383333,4
199695,1993-04-12,44.106389,19.296944,56
199792,1993-04-12,44.816944,15.870833,6
200340,1993-04-12,44.7775,18.549722,3
